#Id	Used	Can be broken by	Normal Drop	Ultimallet Drop	Description
318	Used	Giant Mallet	Wooden Floor {Black} x1 {2890}	Wooden Floor {Black} x1 {2890}	0
319	Used	Giant Mallet	Wooden Floor {Purple} x1 {2891}	Wooden Floor {Purple} x1 {2891}	0
320	Used	Giant Mallet	Wooden Floor {Pink} x1 {2892}	Wooden Floor {Pink} x1 {2892}	0
321	Used	Giant Mallet	Wooden Floor {Red} x1 {2893}	Wooden Floor {Red} x1 {2893}	0
322	Used	Giant Mallet	Wooden Floor {Green} x1 {2894}	Wooden Floor {Green} x1 {2894}	0
323	Used	Giant Mallet	Wooden Floor {Yellow} x1 {2895}	Wooden Floor {Yellow} x1 {2895}	0
324	Used	Giant Mallet	Wooden Floor {Blue} x1 {2896}	Wooden Floor {Blue} x1 {2896}	0
325	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
326	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
327	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
328	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
329	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
330	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
331	Used	Cypress Stick	Nothing {-1}	Shifting Sand x1 {265}	0
332	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
333	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
334	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
335	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
336	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
337	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
338	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
339	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
340	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
341	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
342	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
343	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
344	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
345	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
346	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
347	Used	Unscoopable	Nothing {-1}	0	0
348	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
349	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
350	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
351	Used	Giant Mallet	Hardwood Column {White} x1 {2777}	Hardwood Column Midsection {White} x1 {2793}	0
352	Used	Giant Mallet	Hardwood Column {Black} x1 {2778}	Hardwood Column Midsection {Black} x1 {2794}	0
353	Used	Giant Mallet	Hardwood Column {Purple} x1 {2779}	Hardwood Column Midsection {Purple} x1 {2795}	0
354	Used	Giant Mallet	Hardwood Column {Pink} x1 {2780}	Hardwood Column Midsection {Pink} x1 {2796}	0
355	Used	Giant Mallet	Hardwood Column {Red} x1 {2781}	Hardwood Column Midsection {Red} x1 {2797}	0
356	Used	Giant Mallet	Hardwood Column {Green} x1 {2782}	Hardwood Column Midsection {Green} x1 {2798}	0
357	Used	Giant Mallet	Hardwood Column {Yellow} x1 {2783}	Hardwood Column Midsection {Yellow} x1 {2799}	0
358	Used	Giant Mallet	Hardwood Column {Blue} x1 {2784}	Hardwood Column Midsection {Blue} x1 {2800}	0
359	Used	Giant Mallet	Hardwood Column {White} x1 {2777}	Hardwood Pedestal {White} x1 {2801}	0
360	Used	Giant Mallet	Hardwood Column {Black} x1 {2778}	Hardwood Pedestal {Black} x1 {2802}	0
361	Used	Giant Mallet	Hardwood Column {Purple} x1 {2779}	Hardwood Pedestal {Purple} x1 {2803}	0
362	Used	Giant Mallet	Hardwood Column {Pink} x1 {2780}	Hardwood Pedestal {Pink} x1 {2804}	0
363	Used	Giant Mallet	Hardwood Column {Red} x1 {2781}	Hardwood Pedestal {Red} x1 {2805}	0
364	Used	Giant Mallet	Hardwood Column {Green} x1 {2782}	Hardwood Pedestal {Green} x1 {2806}	0
365	Used	Giant Mallet	Hardwood Column {Yellow} x1 {2783}	Hardwood Pedestal {Yellow} x1 {2807}	0
366	Used	Giant Mallet	Hardwood Column {Blue} x1 {2784}	Hardwood Pedestal {Blue} x1 {2808}	0
367	Used	Giant Mallet	Hardwood Column {White} x1 {2777}	Hardwood Capital {White} x1 {2785}	0
368	Used	Giant Mallet	Hardwood Column {Black} x1 {2778}	Hardwood Capital {Black} x1 {2786}	0
369	Used	Giant Mallet	Hardwood Column {Purple} x1 {2779}	Hardwood Capital {Purple} x1 {2787}	0
370	Used	Giant Mallet	Hardwood Column {Pink} x1 {2780}	Hardwood Capital {Pink} x1 {2788}	0
371	Used	Giant Mallet	Hardwood Column {Red} x1 {2781}	Hardwood Capital {Red} x1 {2789}	0
372	Used	Giant Mallet	Hardwood Column {Green} x1 {2782}	Hardwood Capital {Green} x1 {2790}	0
373	Used	Giant Mallet	Hardwood Column {Yellow} x1 {2783}	Hardwood Capital {Yellow} x1 {2791}	0
374	Used	Giant Mallet	Hardwood Column {Blue} x1 {2784}	Hardwood Capital {Blue} x1 {2792}	0
375	Used	Giant Mallet	Carpet {White} x1 {2625}	Carpet {White} x1 {2625}	0
376	Used	Giant Mallet	Carpet {Black} x1 {2626}	Carpet {Black} x1 {2626}	0
377	Used	Giant Mallet	Carpet {Purple} x1 {2627}	Carpet {Purple} x1 {2627}	0
378	Used	Giant Mallet	Carpet {Pink} x1 {2628}	Carpet {Pink} x1 {2628}	0
379	Used	Giant Mallet	Carpet {Red} x1 {2629}	Carpet {Red} x1 {2629}	0
380	Used	Giant Mallet	Carpet {Green} x1 {2630}	Carpet {Green} x1 {2630}	0
381	Used	Giant Mallet	Carpet {Yellow} x1 {2631}	Carpet {Yellow} x1 {2631}	0
382	Used	Giant Mallet	Carpet {Blue} x1 {2632}	Carpet {Blue} x1 {2632}	0
383	Used	Pot [UNKOWN THE POT LEVEL]	Water-Filled Bottomless Pot {1767}	0	0
384	Used	Pot [UNKOWN THE POT LEVEL]	Hot Water-Filled Bottomless Pot {1768}	0	0
385	Used	Pot [UNKOWN THE POT LEVEL]	Poison-Filled Bottomless Pot {1557}	0	0
386	Used	Pot [UNKOWN THE POT LEVEL]	Lava-Filled Bottomless Pot {1558}	0	0
387	Used	Unscoopable	Nothing {-1}	0	0
388	Used	Pot [UNKOWN THE POT LEVEL]	Filthy Water-Filled Bottomless Pot {2058}	0	0
389	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
390	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
391	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
392	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
393	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
394	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
395	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
396	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
397	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
398	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
399	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
400	Used	Pot [UNKOWN THE POT LEVEL]	Plasma-Filled Bottomless Pot {1559}	0	0
401	Used	Ultimallet	Nothing {-1}	Vault Tile x1 {2544}	0
402	Used	Giant Mallet	Gold Brick x1 {1565}	Gold Brick x1 {1565}	0
403	Used	Giant Mallet	Spaceship Wall x1 {211}	Spaceship Wall x1 {211}	0
404	Used	Giant Mallet	Shiny Spaceship Wall x1 {212}	Shiny Spaceship Wall x1 {212}	0
405	Used	Sledgehammer	Citadel Wall x1 {2495}	Citadel Battlement x1 {402}	0
406	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
407	Used	Sledgehammer	Golden Citadel Capital x1 {2301}	Golden Citadel Capital x1 {2301}	0
408	Used	Sledgehammer	Alcoved Citadel Wall x1 {2303}	Alcoved Citadel Wall x1 {2303}	0
409	Used	Sledgehammer	Golden Citadel Foundation x1 {2302}	Golden Citadel Foundation x1 {2302}	0
410	Used	Sledgehammer	Patterned Citadel Wall x1 {10}	Patterned Citadel Wall x1 {10}	0
411	Used	Giant Mallet	Golden Tile x1 {1703}	Golden Tile x1 {1703}	0
412	Used	Ultimallet	Nothing {-1}	Golden Tile x1 {1703}	0
413	Used	Intangible Block	Nothing {-1}	Nothing {-1}	Malhalla floor
414	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
415	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
416	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
417	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
418	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
419	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
420	Used	Pot [UNKOWN THE POT LEVEL]	Seawater-Filled Bottomless Pot {1}	0	0
421	Used	Giant Mallet	Spaceship Wall {White} x1 {95}	Spaceship Wall {White} x1 {95}	0
422	Used	Giant Mallet	Spaceship Wall {Black} x1 {96}	Spaceship Wall {Black} x1 {96}	0
423	Used	Giant Mallet	Spaceship Wall {Purple} x1 {97}	Spaceship Wall {Purple} x1 {97}	0
424	Used	Giant Mallet	Spaceship Wall {Pink} x1 {98}	Spaceship Wall {Pink} x1 {98}	0
425	Used	Giant Mallet	Spaceship Wall {Red} x1 {99}	Spaceship Wall {Red} x1 {99}	0
426	Used	Giant Mallet	Spaceship Wall {Green} x1 {100}	Spaceship Wall {Green} x1 {100}	0
427	Used	Giant Mallet	Spaceship Wall {Yellow} x1 {101}	Spaceship Wall {Yellow} x1 {101}	0
428	Used	Giant Mallet	Spaceship Wall {Blue} x1 {102}	Spaceship Wall {Blue} x1 {102}	0
429	Used	Giant Mallet	Shiny Spaceship Wall {White} x1 {134}	Shiny Spaceship Wall {White} x1 {134}	0
430	Used	Giant Mallet	Shiny Spaceship Wall {Black} x1 {135}	Shiny Spaceship Wall {Black} x1 {135}	0
431	Used	Giant Mallet	Shiny Spaceship Wall {Purple} x1 {136}	Shiny Spaceship Wall {Purple} x1 {136}	0
432	Used	Giant Mallet	Shiny Spaceship Wall {Pink} x1 {137}	Shiny Spaceship Wall {Pink} x1 {137}	0
433	Used	Giant Mallet	Shiny Spaceship Wall {Red} x1 {138}	Shiny Spaceship Wall {Red} x1 {138}	0
434	Used	Giant Mallet	Shiny Spaceship Wall {Green} x1 {139}	Shiny Spaceship Wall {Green} x1 {139}	0
435	Used	Giant Mallet	Shiny Spaceship Wall {Yellow} x1 {140}	Shiny Spaceship Wall {Yellow} x1 {140}	0
436	Used	Giant Mallet	Shiny Spaceship Wall {Blue} x1 {141}	Shiny Spaceship Wall {Blue} x1 {141}	0
437	Used	Giant Mallet	Woodless Timbered Wall x1 {680}	Woodless Timbered Wall x1 {680}	0
438	Used	Giant Mallet	Banded Timbered Wall x1 {681}	Banded Timbered Wall x1 {681}	0
439	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
440	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
441	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
442	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
443	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
444	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
445	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
446	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
447	Used	Giant Mallet	Banded Timbered Wall {White} x1 {727}	Banded Timbered Wall {White} x1 {727}	0
448	Used	Giant Mallet	Banded Timbered Wall {Black} x1 {728}	Banded Timbered Wall {Black} x1 {728}	0
449	Used	Giant Mallet	Banded Timbered Wall {Purple} x1 {729}	Banded Timbered Wall {Purple} x1 {729}	0
450	Used	Giant Mallet	Banded Timbered Wall {Pink} x1 {730}	Banded Timbered Wall {Pink} x1 {730}	0
451	Used	Giant Mallet	Banded Timbered Wall {Red} x1 {731}	Banded Timbered Wall {Red} x1 {731}	0
452	Used	Giant Mallet	Banded Timbered Wall {Green} x1 {732}	Banded Timbered Wall {Green} x1 {732}	0
453	Used	Giant Mallet	Banded Timbered Wall {Yellow} x1 {733}	Banded Timbered Wall {Yellow} x1 {733}	0
454	Used	Giant Mallet	Banded Timbered Wall {Blue} x1 {734}	Banded Timbered Wall {Blue} x1 {734}	0
455	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
456	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
457	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
458	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
459	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
460	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
461	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
462	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
463	Used	Giant Mallet	Hardwood Tile {White} x1 {2769}	Hardwood Tile {White} x1 {2769}	0
464	Used	Giant Mallet	Hardwood Tile {Black} x1 {2770}	Hardwood Tile {Black} x1 {2770}	0
465	Used	Giant Mallet	Hardwood Tile {Purple} x1 {2771}	Hardwood Tile {Purple} x1 {2771}	0
466	Used	Giant Mallet	Hardwood Tile {Pink} x1 {2772}	Hardwood Tile {Pink} x1 {2772}	0
467	Used	Giant Mallet	Hardwood Tile {Red} x1 {2773}	Hardwood Tile {Red} x1 {2773}	0
468	Used	Giant Mallet	Hardwood Tile {Green} x1 {2774}	Hardwood Tile {Green} x1 {2774}	0
469	Used	Giant Mallet	Hardwood Tile {Yellow} x1 {2775}	Hardwood Tile {Yellow} x1 {2775}	0
470	Used	Giant Mallet	Hardwood Tile {Blue} x1 {2776}	Hardwood Tile {Blue} x1 {2776}	0
471	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
472	Used	Giant Mallet	Red-Brick Wall x1 {653}	Red-Brick Wall x1 {653}	0
473	Used	Sledgehammer	Diamond x1 {656}	Diamond Vein x1 {1114}	0
474	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
475	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
476	Used	Sledgehammer	Magnetite x1 {669}	Magnetite Vein x1 {668}	0
477	Used	Sledgehammer	Siltstone x1 {636}	Siltstone x1 {636}	0
478	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
479	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
480	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
481	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
482	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
483	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
484	Used	Giant Mallet	Red-Brick Floor x1 {1154}	Red-Brick Floor x1 {1154}	0
485	Used	Giant Mallet	Crazing Paving x1 {1155}	Crazing Paving x1 {1155}	0
486	Used	Giant Mallet	Copper Wall x1 {1156}	Copper Wall x1 {1156}	0
487	Used	Giant Mallet	Marble x1 {1157}	Marble x1 {1157}	0
488	Used	Giant Mallet	Silver Birch Lumber x1 {1158}	Silver Birch Lumber x1 {1158}	0
489	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
490	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
491	Used	Giant Mallet	Dark Bark x1 {2076}	Dark Bark x1 {2076}	0
492	Used	Cypress Stick	Teal Leaves x1 {2077}	Teal Leaves x1 {2077}	0
493	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
494	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
495	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
496	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
497	Used	Giant Mallet	Spoiled Soil x1 {1784}	Bloodstained Soil x1 {2083}	0
498	Unused	Giant Mallet	Spoiled Soil x1 {1784}	Bloodstained Soil x1 {2083}	0
499	Used	Giant Mallet	Padded Floor x1 {1464}	Padded Floor x1 {1464}	0
500	Used	Giant Mallet	Spoiled Soil x1 {1784}	Leafy Spoiled Soil x1 {2084}	0
501	Unused	Giant Mallet	Spoiled Soil x1 {1784}	Leafy Spoiled Soil x1 {2084}	0
502	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
503	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
504	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
505	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
506	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
507	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
508	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
509	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
510	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
511	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
512	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
513	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
514	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
515	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
516	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
517	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
518	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
519	Used	Cypress Stick	Wood x3 {407}	Cracked Floorboard x1 {2169}	0
520	Used	Giant Mallet	Blackened Bark x1 {2249}	Blackened Bark x1 {2249}	0
521	Unused	Giant Mallet	Spoiled Soil x1 {1784}	Bloodstained Soil x1 {2083}	0
522	Used	Giant Mallet	Malachite x1 {2184}	Malachite x1 {2184}	0
523	Used	Ultimallet	Nothing {-1}	Patterned Vault Wall x1 {226}	0
524	Used	Ultimallet	Nothing {-1}	Nothing {-1}	0
525	Used	Giant Mallet	Adobe Wall x1 {2291}	Adobe Capital x1 {2187}	0
526	Used	Giant Mallet	Adobe Wall x1 {2291}	Adobe Wall (Midsection) x1 {2188}	0
527	Used	Giant Mallet	Adobe Wall x1 {2291}	Adobe Pedestal x1 {2189}	0
528	Used	Giant Mallet	Alcoved Adobe Wall x1 {2190}	Alcoved Adobe Wall x1 {2190}	0
529	Used	Giant Mallet	Copper Floor x1 {2247}	Copper Floor x1 {2247}	0
530	Used	Giant Mallet	Sooty Softwood x1 {2255}	Sooty Softwood x1 {2255}	0
531	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
532	Used	Giant Mallet	Heartwood x1 {2253}	Heartwood x1 {2253}	0
533	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
534	Used	Sledgehammer	White Dye x1 {271}	White Dye Vein x1 {2256}	0
535	Used	Sledgehammer	Black Dye x1 {272}	Black Dye Vein x1 {2257}	0
536	Used	Sledgehammer	Purple Dye x1 {273}	Purple Dye Vein x1 {2258}	0
537	Used	Sledgehammer	Pink Dye x1 {274}	Pink Dye Vein x1 {2259}	0
538	Used	Sledgehammer	Red Dye x1 {275}	Red Dye Vein x1 {2260}	0
539	Used	Sledgehammer	Green Dye x1 {276}	Green Dye Vein x1 {2261}	0
540	Used	Sledgehammer	Yellow Dye x1 {277}	Yellow Dye Vein x1 {2262}	0
541	Used	Sledgehammer	Blue Dye x1 {278}	Blue Dye Vein x1 {2263}	0
542	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
543	Unused	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
544	Used	Giant Mallet	Carpet x1 {1050}	Carpet x1 {1050}	0
545	Used	Giant Mallet	Golden Castle Capital x1 {2372}	Golden Castle Capital x1 {2372}	0
546	Used	Giant Mallet	Alcoved Castle Wall x1 {2373}	Alcoved Castle Wall x1 {2373}	0
547	Used	Giant Mallet	Golden Castle Foundation x1 {2374}	Golden Castle Foundation x1 {2374}	0
548	Used	Giant Mallet	Stone x2 {404}	Cracked Castle Tile x1 {2375}	0
549	Used	Giant Mallet	Earth x1 {1001}	Battlefield Earth x1 {2376}	0
550	Used	Sledgehammer	Citadel Wall x1 {2495}	Citadel Capital x1 {2451}	0
551	Used	Sledgehammer	Citadel Wall x1 {2495}	Citadel Foundation x1 {2452}	0
552	Used	Sledgehammer	Citadel Wall x1 {2495}	Citadel Wall Midsection x1 {2453}	0
553	Used	Sledgehammer	Citadel Floor x1 {2454}	Citadel Floor x1 {2454}	0
554	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
555	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
556	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
557	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
558	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
559	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
560	Unused	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	Looks like nothing is there. Can pass through.
561	Used	Giant Mallet	Plaster x1 {2615}	Plaster x1 {2615}	0
562	Used	Giant Mallet	Plaster {White} x1 {2833}	Plaster {White} x1 {2833}	0
563	Used	Giant Mallet	Plaster {Black} x1 {2834}	Plaster {Black} x1 {2834}	0
564	Used	Giant Mallet	Plaster {Purple} x1 {2835}	Plaster {Purple} x1 {2835}	0
565	Used	Giant Mallet	Plaster {Pink} x1 {2836}	Plaster {Pink} x1 {2836}	0
566	Used	Giant Mallet	Plaster {Red} x1 {2837}	Plaster {Red} x1 {2837}	0
567	Used	Giant Mallet	Plaster {Green} x1 {2838}	Plaster {Green} x1 {2838}	0
568	Used	Giant Mallet	Plaster {Yellow} x1 {2839}	Plaster {Yellow} x1 {2839}	0
569	Used	Giant Mallet	Plaster {Blue} x1 {2840}	Plaster {Blue} x1 {2840}	0
570	Used	Giant Mallet	Floorboard {White} x1 {2809}	Floorboard {White} x1 {2809}	0
571	Used	Giant Mallet	Floorboard {Black} x1 {2810}	Floorboard {Black} x1 {2810}	0
572	Used	Giant Mallet	Floorboard {Purple} x1 {2811}	Floorboard {Purple} x1 {2811}	0
573	Used	Giant Mallet	Floorboard {Pink} x1 {2812}	Floorboard {Pink} x1 {2812}	0
574	Used	Giant Mallet	Floorboard {Red} x1 {2813}	Floorboard {Red} x1 {2813}	0
575	Used	Giant Mallet	Floorboard {Green} x1 {2814}	Floorboard {Green} x1 {2814}	0
576	Used	Giant Mallet	Floorboard {Yellow} x1 {2815}	Floorboard {Yellow} x1 {2815}	0
577	Used	Giant Mallet	Floorboard {Blue} x1 {2816}	Floorboard {Blue} x1 {2816}	0
578	Used	Giant Mallet	Padded Floor {White} x1 {2633}	Padded Floor {White} x1 {2633}	0
579	Used	Giant Mallet	Padded Floor {Black} x1 {2634}	Padded Floor {Black} x1 {2634}	0
580	Used	Giant Mallet	Padded Floor {Purple} x1 {2635}	Padded Floor {Purple} x1 {2635}	0
581	Used	Giant Mallet	Padded Floor {Pink} x1 {2636}	Padded Floor {Pink} x1 {2636}	0
582	Used	Giant Mallet	Padded Floor {Red} x1 {2637}	Padded Floor {Red} x1 {2637}	0
583	Used	Giant Mallet	Padded Floor {Green} x1 {2638}	Padded Floor {Green} x1 {2638}	0
584	Used	Giant Mallet	Padded Floor {Yellow} x1 {2639}	Padded Floor {Yellow} x1 {2639}	0
585	Used	Giant Mallet	Padded Floor {Blue} x1 {2640}	Padded Floor {Blue} x1 {2640}	0
586	Unused	Giant Mallet	Nothing {-1}	Stony Soil {1759}	0
587	Unused	Giant Mallet	Nothing {-1}	Stony Soil {1759}	0
588	Used	Giant Mallet	Iron Block x1 {1134}	Iron Block x1 {1134}	0
589	Used	Giant Mallet	Concrete Block x1 {1133}	Concrete Block x1 {1133}	0
590	Used	Giant Mallet	Sun Sigil Block x1 {1196}	Sun Sigil Block x1 {1196}	0
591	Used	Giant Mallet	Star Sigil Block x1 {1197}	Star Sigil Block x1 {1197}	0
592	Used	Giant Mallet	Moon Sigil Block x1 {1198}	Moon Sigil Block x1 {1198}	0
593	Used	Giant Mallet	Water Sigil Block x1 {1199}	Water Sigil Block x1 {1199}	0
594	Used	Giant Mallet	Soul Sigil Block x1 {1200}	Soul Sigil Block x1 {1200}	0
595	Used	Giant Mallet	Sandstone Brick x1 {229}	Sandstone Brick x1 {229}	0
596	Used	Cypress Stick	Nothing {-1}	Withered Leaves x1 {240}	0
597	Unused	Giant Mallet	Nothing {-1}	Nothing {-1}	0
598	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
599	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
600	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
601	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
602	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
603	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
604	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
605	Unused	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
606	Used	Giant Mallet	Sanguine Sandstone x1 {601}	Sanguine Sandstone x1 {601}	0
607	Used	Giant Mallet	Sanguine Cinders x1 {603}	Sanguine Cinders x1 {603}	0
608	Used	Giant Mallet	Sanguine Sand x1 {600}	Sanguine Sand x1 {600}	0
609	Used	Giant Mallet	Sanguine Sandy Sandstone x1 {602}	Sanguine Sandy Sandstone x1 {602}	0
610	Used	Sledgehammer	Scales x1 {942}	Scales x1 {942}	0
611	Unused	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
612	Used	Giant Mallet	Silver Brick x1 {439}	Silver Brick x1 {439}	0
613	Used	Giant Mallet	Sooty Silver Brick x1 {440}	Sooty Silver Brick x1 {440}	0
614	Used	Giant Mallet	Grass Seed x3 {163}	Seeded Spoiled Soil x1 {442}	0
615	Used	Giant Mallet	Tomato Seed x3 {1831}	Tomato Seed x3 {1831}	0
616	Used	Giant Mallet	Sugar Cane Seedling x3 {1825}	Sugar Cane Seedling x3 {1825}	0
617	Used	Giant Mallet	Pumpkin Seed x1 {1830}	Pumpkin Seed x1 {1830}	0
618	Used	Giant Mallet	Pumpkin Seed x3 {1830}	Pumpkin Seed x3 {1830}	0
619	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
620	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
621	Used	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
