#Id	ImageId	Used	Name	Can be broken by	Normal Drop	Ultimallet Drop	Description
0	0	Used	Empty	Intangible Block	0	0	Set on layer 0 will create sea floor
469	48	Used	Hardwood Tile {Yellow}	Giant Mallet	Hardwood Tile {Yellow} x1 {2775}	Hardwood Tile {Yellow} x1 {2775}	0
470	48	Used	Hardwood Tile {Blue}	Giant Mallet	Hardwood Tile {Blue} x1 {2776}	Hardwood Tile {Blue} x1 {2776}	0
471	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
472	472	Used	Red-Brick Wall	Giant Mallet	Red-Brick Wall x1 {653}	Red-Brick Wall x1 {653}	0
473	473	Used	Diamond Vein	Sledgehammer	Diamond x1 {656}	Diamond Vein x1 {1114}	0
474	474	Unused	Chert (Red)*	Giant Mallet	Nothing {-1}	Nothing {-1}	0
475	475	Unused	Citadel Floor (Red)*	Giant Mallet	Nothing {-1}	Nothing {-1}	0
476	476	Used	Magnetite Vein	Sledgehammer	Magnetite x1 {669}	Magnetite Vein x1 {668}	0
477	477	Used	Siltstone	Sledgehammer	Siltstone x1 {636}	Siltstone x1 {636}	0
478	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
479	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
480	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
481	90	Unused	Slimy Block	Giant Mallet	Nothing {-1}	Nothing {-1}	0
482	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
483	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
484	484	Used	Red-Brick Floor	Giant Mallet	Red-Brick Floor x1 {1154}	Red-Brick Floor x1 {1154}	0
485	485	Used	Crazing Paving	Giant Mallet	Crazing Paving x1 {1155}	Crazing Paving x1 {1155}	0
486	486	Used	Copper Wall	Giant Mallet	Copper Wall x1 {1156}	Copper Wall x1 {1156}	0
487	487	Used	Marble	Giant Mallet	Marble x1 {1157}	Marble x1 {1157}	0
488	488	Used	Silver Birch Lumber	Giant Mallet	Silver Birch Lumber x1 {1158}	Silver Birch Lumber x1 {1158}	0
489	156	Used	Spoiled Soil*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
490	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
491	491	Used	Dark Bark	Giant Mallet	Dark Bark x1 {2076}	Dark Bark x1 {2076}	0
492	492	Used	Teal Leaves	Cypress Stick	Teal Leaves x1 {2077}	Teal Leaves x1 {2077}	0
493	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
494	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
495	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
496	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
497	497	Used	Bloodstained Soil	Giant Mallet	Spoiled Soil x1 {1784}	Bloodstained Soil x1 {2083}	0
498	-1	Unused	Bloodstained Soil full	Giant Mallet	Spoiled Soil x1 {1784}	Bloodstained Soil x1 {2083}	0
499	499	Used	Padded Floor	Giant Mallet	Padded Floor x1 {1464}	Padded Floor x1 {1464}	0
500	500	Used	Leafy Spoiled Soil	Giant Mallet	Spoiled Soil x1 {1784}	Leafy Spoiled Soil x1 {2084}	0
501	501	Unused	Leafy Spoiled Soil full	Giant Mallet	Spoiled Soil x1 {1784}	Leafy Spoiled Soil x1 {2084}	0
502	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
503	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
504	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
505	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
506	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
507	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
508	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
509	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
510	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
511	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
512	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
513	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
514	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
515	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
516	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
517	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
518	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
519	519	Used	Cracked Floorboard	Cypress Stick	Wood x3 {407}	Cracked Floorboard x1 {2169}	0
520	520	Used	Blackened Bark	Giant Mallet	Blackened Bark x1 {2249}	Blackened Bark x1 {2249}	0
521	-1	Unused	Bloodstained Soil full	Giant Mallet	Spoiled Soil x1 {1784}	Bloodstained Soil x1 {2083}	0
522	522	Used	Malachite	Giant Mallet	Malachite x1 {2184}	Malachite x1 {2184}	0
523	268	Used	Patterned Vault Wall*	Ultimallet	Nothing {-1}	Patterned Vault Wall x1 {226}	0
524	268	Used	Patterned Vault Wall*	Ultimallet	Nothing {-1}	Nothing {-1}	0
525	525	Used	Adobe Capital	Giant Mallet	Adobe Wall x1 {2291}	Adobe Capital x1 {2187}	0
526	526	Used	Adobe Wall (Midsection)	Giant Mallet	Adobe Wall x1 {2291}	Adobe Wall (Midsection) x1 {2188}	0
527	527	Used	Adobe Pedestal	Giant Mallet	Adobe Wall x1 {2291}	Adobe Pedestal x1 {2189}	0
528	528	Used	Alcoved Adobe Wall	Giant Mallet	Alcoved Adobe Wall x1 {2190}	Alcoved Adobe Wall x1 {2190}	0
529	529	Used	Copper Floor	Giant Mallet	Copper Floor x1 {2247}	Copper Floor x1 {2247}	0
530	530	Used	Sooty Softwood	Giant Mallet	Sooty Softwood x1 {2255}	Sooty Softwood x1 {2255}	0
531	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
532	532	Used	Heartwood	Giant Mallet	Heartwood x1 {2253}	Heartwood x1 {2253}	0
533	44	Used	Plumberry Lumber*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
534	534	Used	White Dye Vein	Sledgehammer	White Dye x1 {271}	White Dye Vein x1 {2256}	0
535	535	Used	Black Dye Vein	Sledgehammer	Black Dye x1 {272}	Black Dye Vein x1 {2257}	0
536	536	Used	Purple Dye Vein	Sledgehammer	Purple Dye x1 {273}	Purple Dye Vein x1 {2258}	0
537	537	Used	Pink Dye Vein	Sledgehammer	Pink Dye x1 {274}	Pink Dye Vein x1 {2259}	0
538	538	Used	Red Dye Vein	Sledgehammer	Red Dye x1 {275}	Red Dye Vein x1 {2260}	0
539	539	Used	Green Dye Vein	Sledgehammer	Green Dye x1 {276}	Green Dye Vein x1 {2261}	0
540	540	Used	Yellow Dye Vein	Sledgehammer	Yellow Dye x1 {277}	Yellow Dye Vein x1 {2262}	0
541	541	Used	Blue Dye Vein	Sledgehammer	Blue Dye x1 {278}	Blue Dye Vein x1 {2263}	0
542	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
543	-1	Unused	Blue Temple Tile Half Dummy	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
544	544	Used	Carpet	Giant Mallet	Carpet x1 {1050}	Carpet x1 {1050}	0
545	545	Used	Golden Castle Capital	Giant Mallet	Golden Castle Capital x1 {2372}	Golden Castle Capital x1 {2372}	0
546	546	Used	Alcoved Castle Wall	Giant Mallet	Alcoved Castle Wall x1 {2373}	Alcoved Castle Wall x1 {2373}	0
547	547	Used	Golden Castle Foundation	Giant Mallet	Golden Castle Foundation x1 {2374}	Golden Castle Foundation x1 {2374}	0
548	548	Used	Cracked Castle Tile	Giant Mallet	Stone x2 {404}	Cracked Castle Tile x1 {2375}	0
549	549	Used	Battlefield Earth	Giant Mallet	Earth x1 {1001}	Battlefield Earth x1 {2376}	0
550	550	Used	Citadel Capital	Sledgehammer	Citadel Wall x1 {2495}	Citadel Capital x1 {2451}	0
551	551	Used	Citadel Foundation	Sledgehammer	Citadel Wall x1 {2495}	Citadel Foundation x1 {2452}	0
552	552	Used	Citadel Wall Midsection	Sledgehammer	Citadel Wall x1 {2495}	Citadel Wall Midsection x1 {2453}	0
553	553	Used	Citadel Floor	Sledgehammer	Citadel Floor x1 {2454}	Citadel Floor x1 {2454}	0
554	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
555	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
556	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
557	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
558	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
559	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
560	-1	Unused	Ghost Block*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	Looks like nothing is there. Can pass through.
561	561	Used	Plaster	Giant Mallet	Plaster x1 {2615}	Plaster x1 {2615}	0
562	561	Used	Plaster {White}	Giant Mallet	Plaster {White} x1 {2833}	Plaster {White} x1 {2833}	0
563	561	Used	Plaster {Black}	Giant Mallet	Plaster {Black} x1 {2834}	Plaster {Black} x1 {2834}	0
564	561	Used	Plaster {Purple}	Giant Mallet	Plaster {Purple} x1 {2835}	Plaster {Purple} x1 {2835}	0
565	561	Used	Plaster {Pink}	Giant Mallet	Plaster {Pink} x1 {2836}	Plaster {Pink} x1 {2836}	0
566	561	Used	Plaster {Red}	Giant Mallet	Plaster {Red} x1 {2837}	Plaster {Red} x1 {2837}	0
567	561	Used	Plaster {Green}	Giant Mallet	Plaster {Green} x1 {2838}	Plaster {Green} x1 {2838}	0
568	561	Used	Plaster {Yellow}	Giant Mallet	Plaster {Yellow} x1 {2839}	Plaster {Yellow} x1 {2839}	0
569	561	Used	Plaster {Blue}	Giant Mallet	Plaster {Blue} x1 {2840}	Plaster {Blue} x1 {2840}	0
570	244	Used	Floorboard {White}	Giant Mallet	Floorboard {White} x1 {2809}	Floorboard {White} x1 {2809}	0
571	244	Used	Floorboard {Black}	Giant Mallet	Floorboard {Black} x1 {2810}	Floorboard {Black} x1 {2810}	0
572	244	Used	Floorboard {Purple}	Giant Mallet	Floorboard {Purple} x1 {2811}	Floorboard {Purple} x1 {2811}	0
573	244	Used	Floorboard {Pink}	Giant Mallet	Floorboard {Pink} x1 {2812}	Floorboard {Pink} x1 {2812}	0
574	244	Used	Floorboard {Red}	Giant Mallet	Floorboard {Red} x1 {2813}	Floorboard {Red} x1 {2813}	0
575	244	Used	Floorboard {Green}	Giant Mallet	Floorboard {Green} x1 {2814}	Floorboard {Green} x1 {2814}	0
576	244	Used	Floorboard {Yellow}	Giant Mallet	Floorboard {Yellow} x1 {2815}	Floorboard {Yellow} x1 {2815}	0
577	244	Used	Floorboard {Blue}	Giant Mallet	Floorboard {Blue} x1 {2816}	Floorboard {Blue} x1 {2816}	0
578	499	Used	Padded Floor {White}	Giant Mallet	Padded Floor {White} x1 {2633}	Padded Floor {White} x1 {2633}	0
579	499	Used	Padded Floor {Black}	Giant Mallet	Padded Floor {Black} x1 {2634}	Padded Floor {Black} x1 {2634}	0
580	499	Used	Padded Floor {Purple}	Giant Mallet	Padded Floor {Purple} x1 {2635}	Padded Floor {Purple} x1 {2635}	0
581	499	Used	Padded Floor {Pink}	Giant Mallet	Padded Floor {Pink} x1 {2636}	Padded Floor {Pink} x1 {2636}	0
582	499	Used	Padded Floor {Red}	Giant Mallet	Padded Floor {Red} x1 {2637}	Padded Floor {Red} x1 {2637}	0
583	499	Used	Padded Floor {Green}	Giant Mallet	Padded Floor {Green} x1 {2638}	Padded Floor {Green} x1 {2638}	0
584	499	Used	Padded Floor {Yellow}	Giant Mallet	Padded Floor {Yellow} x1 {2639}	Padded Floor {Yellow} x1 {2639}	0
585	499	Used	Padded Floor {Blue}	Giant Mallet	Padded Floor {Blue} x1 {2640}	Padded Floor {Blue} x1 {2640}	0
586	586	Unused	Leafy Stony Soil	Giant Mallet	Nothing {-1}	Stony Soil {1759}	0
587	587	Unused	Leafy Stony Soil Full	Giant Mallet	Nothing {-1}	Stony Soil {1759}	0
588	588	Used	Iron Block	Giant Mallet	Iron Block x1 {1134}	Iron Block x1 {1134}	0
589	589	Used	Concrete Block	Giant Mallet	Concrete Block x1 {1133}	Concrete Block x1 {1133}	0
590	590	Used	Sun Sigil Block	Giant Mallet	Sun Sigil Block x1 {1196}	Sun Sigil Block x1 {1196}	0
591	591	Used	Star Sigil Block	Giant Mallet	Star Sigil Block x1 {1197}	Star Sigil Block x1 {1197}	0
592	592	Used	Moon Sigil Block	Giant Mallet	Moon Sigil Block x1 {1198}	Moon Sigil Block x1 {1198}	0
593	593	Used	Water Sigil Block	Giant Mallet	Water Sigil Block x1 {1199}	Water Sigil Block x1 {1199}	0
594	594	Used	Soul Sigil Block	Giant Mallet	Soul Sigil Block x1 {1200}	Soul Sigil Block x1 {1200}	0
595	595	Used	Sandstone Brick	Giant Mallet	Sandstone Brick x1 {229}	Sandstone Brick x1 {229}	0
596	596	Used	Withered Leaves	Cypress Stick	Nothing {-1}	Withered Leaves x1 {240}	0
597	94	Unused	White Unused Block	Giant Mallet	Nothing {-1}	Nothing {-1}	0
598	147	Used	Arid Earth*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
599	599	Used	Umber*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
600	232	Used	Mossy Spoiled Soil*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
601	234	Used	Swampy Soil*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
602	602	Used	Lumpy Umber*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
603	497	Used	Bloodstained Soil*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
604	497	Used	Leafy Spoiled Soil	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
605	94	Unused	White Unused Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
606	606	Used	Sanguine Sandstone	Giant Mallet	Sanguine Sandstone x1 {601}	Sanguine Sandstone x1 {601}	0
607	607	Used	Sanguine Cinders	Giant Mallet	Sanguine Cinders x1 {603}	Sanguine Cinders x1 {603}	0
608	608	Used	Sanguine Sand	Giant Mallet	Sanguine Sand x1 {600}	Sanguine Sand x1 {600}	0
609	609	Used	Sanguine Sandy Sandstone	Giant Mallet	Sanguine Sandy Sandstone x1 {602}	Sanguine Sandy Sandstone x1 {602}	0
610	610	Used	Scales	Sledgehammer	Scales x1 {942}	Scales x1 {942}	0
611	96	Unused	Red Block*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
612	612	Used	Silver Brick	Giant Mallet	Silver Brick x1 {439}	Silver Brick x1 {439}	0
613	613	Used	Sooty Silver Brick	Giant Mallet	Sooty Silver Brick x1 {440}	Sooty Silver Brick x1 {440}	0
614	235	Used	Seeded Spoiled Soil	Giant Mallet	Grass Seed x3 {163}	Seeded Spoiled Soil x1 {442}	0
615	236	Used	Seeded Spoiled Soil	Giant Mallet	Tomato Seed x3 {1831}	Tomato Seed x3 {1831}	0
616	239	Used	Seeded Spoiled Soil	Giant Mallet	Sugar Cane Seedling x3 {1825}	Sugar Cane Seedling x3 {1825}	0
617	617	Used	Seeded Spoiled Soil	Giant Mallet	Pumpkin Seed x1 {1830}	Pumpkin Seed x1 {1830}	0
618	617	Used	Seeded Spoiled Soil	Giant Mallet	Pumpkin Seed x3 {1830}	Pumpkin Seed x3 {1830}	0
619	10	Used	Obsidian*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
620	11	Used	Sand*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
621	25	Used	Lava*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
622	210	Used	Umber Sandstone Block*	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
263	8	Used	Chalk	Blue Aura Indestructible	Nothing {-1}	Nothing {-1}	0
624	624	Used	Silver Tile	Giant Mallet	Silver Tile x1 {1597}	Silver Tile x1 {1597}	0
625	10	Used	Obsidian	War Hammer	Nothing {-1}	Obsidian x1 {1009}	0
626	130	Used	Light Dolomite	Sledgehammer	Light Dolomite x1 {1748}	Light Dolomite x1 {1748}	0
627	21	Used	Clodstone	Giant Mallet	Clodstone x1 {1020}	Clodstone x1 {1020}	0
628	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
629	38	Unused	Default Block	Intangible With Hammer	Nothing {-1}	Nothing {-1}	0
630	134	Used	Masonry Wall	Giant Mallet	Masonry Wall x1 {1761}	Masonry Wall x1 {1761}	0
631	268	Used	Patterned Vault Wall	Giant Mallet	Patterned Vault Wall x1 {226}	Patterned Vault Wall x1 {226}	0
632	268	Used	Patterned Vault Wall	Giant Mallet	Patterned Vault Wall x1 {226}	Patterned Vault Wall x1 {226}	0
633	401	Used	Vault Tile	Giant Mallet	Vault Tile x1 {2544}	Vault Tile x1 {2544}	0
634	26	Used	Vault Wall	Giant Mallet	Vault Wall x1 {1025}	Vault Wall x1 {1025}	0
635	27	Used	Viny Vault Wall	Giant Mallet	Viny Vault Wall x1 {1026}	Viny Vault Wall x1 {1026}	0
636	28	Used	Cracked Vault Wall	Giant Mallet	Stone x2 {404}	Cracked Vault Wall x1 {1027}	0
637	413	Used	Black Void	Intangible With Hammer	Nothing {-1}	Nothing {-1}	Malhalla floor
638	588	Used	Iron Block {White}	Giant Mallet	Iron Block {White} x1 {3119}	Iron Block {White} x1 {3119}	0
639	588	Used	Iron Block {Black}	Giant Mallet	Iron Block {Black} x1 {3120}	Iron Block {Black} x1 {3120}	0
640	588	Used	Iron Block {Purple}	Giant Mallet	Iron Block {Purple} x1 {3121}	Iron Block {Purple} x1 {3121}	0
641	588	Used	Iron Block {Pink}	Giant Mallet	Iron Block {Pink} x1 {3122}	Iron Block {Pink} x1 {3122}	0
642	588	Used	Iron Block {Red}	Giant Mallet	Iron Block {Red} x1 {3123}	Iron Block {Red} x1 {3123}	0
643	588	Used	Iron Block {Green}	Giant Mallet	Iron Block {Green} x1 {3124}	Iron Block {Green} x1 {3124}	0
644	588	Used	Iron Block {Yellow}	Giant Mallet	Iron Block {Yellow} x1 {3125}	Iron Block {Yellow} x1 {3125}	0
645	588	Used	Iron Block {Blue}	Giant Mallet	Iron Block {Blue} x1 {3126}	Iron Block {Blue} x1 {3126}	0
646	595	Used	Sandstone Brick {White}	Giant Mallet	Sandstone Brick {White} x1 {3127}	Sandstone Brick {White} x1 {3127}	0
647	595	Used	Sandstone Brick {Black}	Giant Mallet	Sandstone Brick {Black} x1 {3128}	Sandstone Brick {Black} x1 {3128}	0
648	595	Used	Sandstone Brick {Purple}	Giant Mallet	Sandstone Brick {Purple} x1 {3129}	Sandstone Brick {Purple} x1 {3129}	0
649	595	Used	Sandstone Brick {Pink}	Giant Mallet	Sandstone Brick {Pink} x1 {3130}	Sandstone Brick {Pink} x1 {3130}	0
650	595	Used	Sandstone Brick {Red}	Giant Mallet	Sandstone Brick {Red} x1 {3131}	Sandstone Brick {Red} x1 {3131}	0
651	595	Used	Sandstone Brick {Green}	Giant Mallet	Sandstone Brick {Green} x1 {3132}	Sandstone Brick {Green} x1 {3132}	0
652	595	Used	Sandstone Brick {Yellow}	Giant Mallet	Sandstone Brick {Yellow} x1 {3133}	Sandstone Brick {Yellow} x1 {3133}	0
653	595	Used	Sandstone Brick {Blue}	Giant Mallet	Sandstone Brick {Blue} x1 {3134}	Sandstone Brick {Blue} x1 {3134}	0
654	53	Used	Castle Tile {White}	Giant Mallet	Castle Tile {White} x1 {3135}	Castle Tile {White} x1 {3135}	0
655	53	Used	Castle Tile {Black}	Giant Mallet	Castle Tile {Black} x1 {3136}	Castle Tile {Black} x1 {3136}	0
656	53	Used	Castle Tile {Purple}	Giant Mallet	Castle Tile {Purple} x1 {3137}	Castle Tile {Purple} x1 {3137}	0
657	53	Used	Castle Tile {Pink}	Giant Mallet	Castle Tile {Pink} x1 {3138}	Castle Tile {Pink} x1 {3138}	0
658	53	Used	Castle Tile {Red}	Giant Mallet	Castle Tile {Red} x1 {3139}	Castle Tile {Red} x1 {3139}	0
659	53	Used	Castle Tile {Green}	Giant Mallet	Castle Tile {Green} x1 {3140}	Castle Tile {Green} x1 {3140}	0
660	53	Used	Castle Tile {Yellow}	Giant Mallet	Castle Tile {Yellow} x1 {3141}	Castle Tile {Yellow} x1 {3141}	0
661	53	Used	Castle Tile {Blue}	Giant Mallet	Castle Tile {Blue} x1 {3142}	Castle Tile {Blue} x1 {3142}	0
662	54	Used	Carved Castle Tile {White}	Giant Mallet	Carved Castle Tile {White} x1 {3143}	Carved Castle Tile {White} x1 {3143}	0
663	54	Used	Carved Castle Tile {Black}	Giant Mallet	Carved Castle Tile {Black} x1 {3144}	Carved Castle Tile {Black} x1 {3144}	0
664	54	Used	Carved Castle Tile {Purple}	Giant Mallet	Carved Castle Tile {Purple} x1 {3145}	Carved Castle Tile {Purple} x1 {3145}	0
665	54	Used	Carved Castle Tile {Pink}	Giant Mallet	Carved Castle Tile {Pink} x1 {3146}	Carved Castle Tile {Pink} x1 {3146}	0
666	54	Used	Carved Castle Tile {Red}	Giant Mallet	Carved Castle Tile {Red} x1 {3147}	Carved Castle Tile {Red} x1 {3147}	0
667	54	Used	Carved Castle Tile {Green}	Giant Mallet	Carved Castle Tile {Green} x1 {3148}	Carved Castle Tile {Green} x1 {3148}	0
668	54	Used	Carved Castle Tile {Yellow}	Giant Mallet	Carved Castle Tile {Yellow} x1 {3149}	Carved Castle Tile {Yellow} x1 {3149}	0
669	54	Used	Carved Castle Tile {Blue}	Giant Mallet	Carved Castle Tile {Blue} x1 {3150}	Carved Castle Tile {Blue} x1 {3150}	0
670	106	Unused	Cyan Block*	Intangible Block	Nothing {-1}	Nothing {-1}	0
671	100	Unused	Green Block*	Intangible Block	Nothing {-1}	Nothing {-1}	0
672	97	Unused	Purple Block*	Intangible Block	Nothing {-1}	Nothing {-1}	0
673	-1	Unused	Translucent Block	Intangible Block	Nothing {-1}	Nothing {-1}	0
674	102	Unused	Yellow Block*	Intangible Block	Nothing {-1}	Nothing {-1}	0
675	101	Unused	Orange Block*	Intangible Block	Nothing {-1}	Nothing {-1}	0
676	104	Unused	Blue Block*	Intangible Block	Nothing {-1}	Nothing {-1}	0
677	106	Unused	Cyan Block*	Intangible Block	Nothing {-1}	Nothing {-1}	0
678	57	Used	Bronze Temple Tile	Sledgehammer	Bronze Temple Tile x1 {1056}	Bronze Temple Tile x1 {1056}	0
679	58	Used	Blue Temple Tile	Sledgehammer	Blue Temple Tile x1 {1057}	Blue Temple Tile x1 {1057}	0
680	680	Used	Seeded Limegrassy Earth	Giant Mallet	Strawberry Seed x2 {1826}	Strawberry Seed x2 {1826}	0
681	681	Used	Seeded Mossy Spoiled Soil	Giant Mallet	Aubergette Seed x2 {1832}	Aubergette Seed x2 {1832}	0
682	682	Used	Seeded Sand	Cypress Stick	Sweetcorn Kernel x2 {1823}	Sweetcorn Kernel x2 {1823}	0
683	683	Used	Seeded Earth	Giant Mallet	Coffee Bean x2 {1827}	Coffee Bean x2 {1827}	0
684	684	Used	Seeded Snow	Cypress Stick	Leek Seed x2 {1828}	Leek Seed x2 {1828}	0
685	685	Used	Seeded Grassy Earth	Giant Mallet	Melon Seed x2 {1834}	Melon Seed x2 {1834}	0
686	686	Used	Gravel Block	Giant Mallet	Gravel Block x1 {1108}	Gravel Block x1 {1108}	0
687	687	Used	Scaled Wall Block	Giant Mallet	Scaled Wall Block x1 {1112}	Scaled Wall Block x1 {1112}	0
688	688	Used	Slatted Wall Block	Giant Mallet	Slatted Wall Block x1 {1136}	Slatted Wall Block x1 {1136}	0
689	689	Used	Woven Straw Block	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
690	689	Used	Woven Straw Block	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
691	689	Used	Woven Straw Block	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
692	689	Used	Woven Straw Block	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
693	689	Used	Woven Straw Block	Giant Mallet	Woven Straw Block x1 {3169}	Woven Straw Block x1 {3169}	0
694	687	Used	Scaled Wall Block {White}	Giant Mallet	Scaled Wall Block {White} x1 {2713}	Scaled Wall Block {White} x1 {2713}	0
695	687	Used	Scaled Wall Block {Black}	Giant Mallet	Scaled Wall Block {Black} x1 {2714}	Scaled Wall Block {Black} x1 {2714}	0
696	687	Used	Scaled Wall Block {Purple}	Giant Mallet	Scaled Wall Block {Purple} x1 {2715}	Scaled Wall Block {Purple} x1 {2715}	0
697	687	Used	Scaled Wall Block {Pink}	Giant Mallet	Scaled Wall Block {Pink} x1 {2716}	Scaled Wall Block {Pink} x1 {2716}	0
698	687	Used	Scaled Wall Block {Red}	Giant Mallet	Scaled Wall Block {Red} x1 {2717}	Scaled Wall Block {Red} x1 {2717}	0
699	687	Used	Scaled Wall Block {Green}	Giant Mallet	Scaled Wall Block {Green} x1 {2718}	Scaled Wall Block {Green} x1 {2718}	0
700	687	Used	Scaled Wall Block {Yellow}	Giant Mallet	Scaled Wall Block {Yellow} x1 {2719}	Scaled Wall Block {Yellow} x1 {2719}	0
701	687	Used	Scaled Wall Block {Blue}	Giant Mallet	Scaled Wall Block {Blue} x1 {2720}	Scaled Wall Block {Blue} x1 {2720}	0
702	702	Used	Polka-Dot Block	Giant Mallet	Polka-Dot Block x1 {3203}	Polka-Dot Block x1 {3203}	0
703	702	Used	Polka-Dot Block {White}	Giant Mallet	Polka-Dot Block {White} x1 {3204}	Polka-Dot Block {White} x1 {3204}	0
704	702	Used	Polka-Dot Block {Black}	Giant Mallet	Polka-Dot Block {Black} x1 {3205}	Polka-Dot Block {Black} x1 {3205}	0
705	702	Used	Polka-Dot Block {Purple}	Giant Mallet	Polka-Dot Block {Purple} x1 {3206}	Polka-Dot Block {Purple} x1 {3206}	0
706	702	Used	Polka-Dot Block {Pink}	Giant Mallet	Polka-Dot Block {Pink} x1 {3207}	Polka-Dot Block {Pink} x1 {3207}	0
707	702	Used	Polka-Dot Block {Red}	Giant Mallet	Polka-Dot Block {Red} x1 {3208}	Polka-Dot Block {Red} x1 {3208}	0
708	702	Used	Polka-Dot Block {Green}	Giant Mallet	Polka-Dot Block {Green} x1 {3209}	Polka-Dot Block {Green} x1 {3209}	0
709	702	Used	Polka-Dot Block {Yellow}	Giant Mallet	Polka-Dot Block {Yellow} x1 {3210}	Polka-Dot Block {Yellow} x1 {3210}	0
710	702	Used	Polka-Dot Block {Blue}	Giant Mallet	Polka-Dot Block {Blue} x1 {3211}	Polka-Dot Block {Blue} x1 {3211}	0
711	711	Used	Faux Floral Floor Block	Giant Mallet	Faux Floral Floor Block x1 {3368}	Faux Floral Floor Block x1 {3368}	0
712	712	Used	Palm-Patterned Block	Giant Mallet	Palm-Patterned Block x1 {3369}	Palm-Patterned Block x1 {3369}	0
